title,url,rating,votes,title_lemmas,Жанр,Режиссер,Продюсер,Сценарист,Композитор,Страна,Монтажер,Художник-постановщик,Оператор,Формат,Год,Хронометраж,Сборы в России,Зрители в России,Бюджет,Сборы в мире,Сборы в США,Дата релиза в РФ,Мировая премьера,Релиз на DVD,Релиз на Blu-Ray,Дата ре-релиза в РФ
Бегущий в лабиринте: Испытание огнём,https://www.filmpro.ru/movies/333237,8.3,32,"['бежать', 'лабиринт', 'испытание', 'огнём']","['Боевик', 'Триллер']",['Уэс Болл'],"['Вик Годфри', 'Марти Бауэн', 'Эллен Голдсмит-Вейн', 'Ли Столлман', 'Джо Хартвик мл.']",['Джеймс Дашнер'],['Джон Песано'],['США'],[],[],['Дьюла Падош'],"['2D', '3D']",2015,131.0,8395302.0,2244561.0,,,,2015,2015.0,,,
Властелин колец: Две крепости,https://www.filmpro.ru/movies/5705,8.3,1566,"['властелин', 'кольцо', 'два', 'крепость']","['Боевик', 'Драма', 'Приключения']",['Питер Джексон'],"['Питер Джексон', 'Харви Вайнштейн', 'Боб Вайнштейн', 'Фрэнсис Уолш', 'Роберт Шэй', 'Джэми Селкирк', 'Барри М. Осборн', 'Майкл Линн', 'Марк Ордески', 'Рик Поррас']","['Питер Джексон', 'Фрэнсис Уолш', 'Джон Рональд Руэл Толкин', 'Филиппа Бойенс', 'Стивен Синклер']",['Говард Шор'],"['США', 'Новая Зеландия']","['Horton', 'Michael (II)']",['Грант Мейджор'],['Эндрю Лесни'],[],2002,179.0,8917598.0,2906239.0,,,,2003,2002.0,,,
Тёмный рыцарь,https://www.filmpro.ru/movies/8588,8.3,3310,"['тёмный', 'рыцарь']","['Боевик', 'Драма', 'Криминал']",['Кристофер Нолан'],"['Кристофер Нолан', 'Томас Тулл', 'Чарльз Ровен', 'Эмма Томас', 'Лорни Орлинз', 'Майкл Э. Услан', 'Филип Ли', 'Бенджамин Мельникер', 'Кевин Де Ла Ной', 'Джордан Голдберг']","['Кристофер Нолан', 'Джонатан Нолан', 'Дэвид С. Гойер', 'Боб Кэйн']","['Ханс Циммер', 'Джеймс Ньютон Ховард']","['США', 'Великобритания']",['Ли Смит'],['Натан Краули'],['Уолли Пфистер'],[],2008,152.0,8711402.0,0.0,,,,2008,2008.0,,,
Железный человек,https://www.filmpro.ru/movies/5879,8.3,2795,"['железный', 'человек']","['Боевик', 'Приключения']",['Джон Фавро'],"['Стэн Ли', 'Кевин Файги', 'Джон Фавро', 'Ави Арад', 'Виктория Алонсо', 'Луис Д’Эспозито', 'Ари Арад', 'Дэвид Майсел', 'Питер Биллингсли', 'Эрик Хеффрон']","['Стэн Ли', 'Джек Кирби', 'Марк Фергус', 'Мэтт Холлоуэй', 'Хоук Остби', 'Marcum', 'Art']",['Рамин Джавади'],[],['Дэн Лебентал'],['Дж. Майкл Рива'],['Мэттью Либатик'],[],2008,126.0,9426554.0,1603027.0,,,,2008,2008.0,,,
Властелин колец: Братство кольца,https://www.filmpro.ru/movies/6022,8.3,3141,"['властелин', 'кольцо', 'братство', 'кольцо']","['Драма', 'Приключения', 'Фэнтези']",['Питер Джексон'],"['Питер Джексон', 'Харви Вайнштейн', 'Боб Вайнштейн', 'Фрэнсис Уолш', 'Роберт Шэй', 'Джэми Селкирк', 'Барри М. Осборн', 'Майкл Линн', 'Марк Ордески', 'Рик Поррас', 'Эллен Сомерс', 'Тим Сандерс']","['Питер Джексон', 'Фрэнсис Уолш', 'Джон Рональд Руэл Толкин', 'Филиппа Бойенс']",['Говард Шор'],"['США', 'Новая Зеландия']",['Джон Гилберт'],['Грант Мейджор'],['Эндрю Лесни'],[],2001,178.0,7295225.0,2342185.0,93000000.0,871530324.0,315544750.0,2002,2001.0,2011.0,2010.0,
Дождливый день в Нью-Йорке,https://www.filmpro.ru/movies/344165,8.3,78,"['дождливый', 'день', 'нью', 'йорк']",['Комедия'],['Вуди Аллен'],"['Летти Аронсон', 'Хелен Робин', 'Эрика Аронсон', 'Адам Б. Штерн']",['Вуди Аллен'],[],['США'],[],['Sarah Dennis'],['Витторио Стораро'],[],2019,95.0,,,,,,2019,,,,
Центурион,https://www.filmpro.ru/movies/5864,8.3,52,['центурион'],"['Боевик', 'Драма', 'Приключения']",['Нил Маршалл'],"['Камерон МакКрекен', 'Ivernel', 'François', 'Кристиан Колсон', 'Дьярмуид МакКиоун', 'Роберт Джонс', 'Энди Стебблинг', 'Ивана Маккиннон', 'Smith', 'Paul (X)']",['Нил Маршалл'],['Илан Эшкери'],[],['Крис Гилл'],['Саймон Боулз'],['Сэм МакКёрди'],[],2010,97.0,988670.0,176429.0,12000000.0,5770499.0,123570.0,2010,2010.0,2010.0,,
Невод,https://www.filmpro.ru/movies/342064,8.3,30,['невод'],['Драма'],['Александра Стреляная'],"['Андрей Новиков', 'Александр Котелевский']",['Александра Стреляная'],[],['Россия'],[],[],['Александр Ланеев'],[],2017,75.0,,,,,,2017,2017.0,,,
В поисках Дори,https://www.filmpro.ru/movies/5418,8.3,73,"['поиск', 'дори']","['Комедия', 'Мультфильм', 'Приключения']","['Эндрю Стэнтон', 'Энгус МакЛэйн']","['Джон Лассетер', 'Боб Роут', 'Линдси Коллинз']","['Эндрю Стэнтон', 'Боб Питерсон', 'Виктория Страуз']",['Томас Ньюман'],['США'],['Эксел Геддес'],[],[],"['2D', '3D', 'IMAX']",2016,103.0,9087214.0,2990613.0,,,,2016,2016.0,2016.0,2016.0,
Байкал. Магия воды,https://www.filmpro.ru/movies/341920,8.3,51,"['байкал', 'магия', 'вода']",['Семейный фильм'],['Анастасия Попова'],"['Игорь Добровольский', 'Юлия Перкуль']",['Марина Бандиленко'],[],"['США', 'Россия', 'Германия', 'Франция']",[],[],"['Вячеслав Красаков', 'Александр Кипер', 'Флориан Майер']",[],2019,89.0,,,,,,2020,,,,
